channel_id,batch_num,delta_V_uL,delta_t_s,flow_rate_uL_per_s
1,1,79.18464248623386,6.801209469440565,11.608513516731326
2,1,111.97092648449738,10.039210871922304,11.183764913561445
3,1,134.72655855282878,11.59638348408695,11.596210466934892
4,1,84.83197085940755,7.287544534222673,11.295718781883254
5,1,82.56590070664022,7.18418230863734,11.293690999135652
6,1,164.1921360499188,14.548990589630153,11.44053575132595
7,1,125.81136462674446,12.248929341642391,10.872451547509655
8,1,64.30949467892422,5.34336848258648,11.823785326226869
9,1,168.04986871210906,14.816170341916324,11.17164580348035
10,1,59.97986164736025,5.084961662918887,11.7566214866721
11,1,86.64238681457131,7.64961881651291,11.45423958313988
12,1,174.67848516238718,14.173241515346026,11.942738767661368
13,1,62.543026151496804,5.80387716389803,11.175537894964151
14,1,150.64669323110505,13.54715704220328,11.297398990026817
15,1,72.11852116912851,6.446773973713633,11.524746384086878
16,1,72.76629003658223,6.792410777291673,10.633912305421358
17,1,148.85721286363147,12.846734732992243,11.696299694336847
18,1,173.73737772004674,13.954240566120944,11.946097827933006
19,1,113.4157652269364,9.607343260722974,11.800909567434049
20,1,62.544641050856576,5.384836822022203,11.670696565300577
21,1,93.64188704648124,8.153052602125381,11.35543492720096
22,1,60.1944255555255,5.1529324969241275,11.855192969262188
23,1,97.88438688651468,8.491736851311014,11.78243790748147
24,1,135.26210310580203,11.593100188869682,11.543944485393334
25,1,86.44447429052329,7.6521613219335265,11.408317199281433
26,1,132.48316707855687,11.520188384409447,11.279908784534966
27,1,157.72851724872464,14.27480196623524,10.975945921369632
28,1,114.61561035088774,9.661387585844341,11.835707442278691
29,1,75.38414916716678,7.07109560665533,10.646311829451475
30,1,160.16218743578702,14.227142446397776,11.276975618742979
31,2,173.49738794464434,14.458566109425986,11.902613061375272
32,2,78.25551406519956,6.349056539189855,12.424238897578823
33,2,176.18135962043166,13.99638533768082,13.100573936503128
34,2,99.36567617332597,7.921491668384108,12.524320841083128
35,2,71.95241228504997,6.281754432202459,11.560686939545441
36,2,74.0826787956227,6.18076690233249,12.325423677536127
37,2,138.56813539581293,12.594500770851804,10.833127771429497
38,2,75.05022396287383,5.884425144188402,12.8517819041358
39,2,142.16664262580306,12.631517436063376,11.661971515497216
40,2,83.25997385310889,7.396185539861884,11.274008646628976
41,2,102.421748536073,9.187837899229205,11.300032933795116
42,2,72.87970066116999,6.430177057100682,11.73330701340399
43,2,133.20767377166501,11.526697971224406,11.484739317191814
44,2,126.55395536536686,9.577859268543339,13.496760469605205
45,2,101.9162286534751,8.938301513377255,11.240692148208824
46,2,151.23651488652712,13.04673137518215,11.803783816486998
47,2,115.37868136281432,9.590151104137824,11.8003654308085
48,2,141.80779204739653,11.915683373154117,11.800532101174074
49,2,151.87102324114642,12.819890770932393,11.820837405583802
50,2,125.37453982128777,11.148812582415617,11.418155865476809
51,2,168.74703326418998,14.613908947704324,11.34177238377118
52,2,118.16941170305464,10.508780474216609,11.132707632565808
53,2,76.1140215768115,7.190125272710094,10.663197049180578
54,2,125.86150651688158,10.418798429336826,11.94155813395118
55,2,91.28904082471169,7.445569808332082,12.517610272141177
56,2,64.63814347415101,5.8332701721054105,11.3720149033598
57,2,142.45454212449343,12.563620917434525,11.360366729836432
58,2,88.36355036266923,7.644975485011142,11.541965887127285
59,2,93.82657902753974,8.136404370419886,11.433848203190092
60,2,159.49154226073844,14.88342858116839,10.702125697350562
61,3,122.28985947658033,9.005578315951853,13.25054296798647
62,3,118.53730163749741,9.413120958266811,12.926405117418662
63,3,179.9332115282737,14.205987299377911,12.523661897254238
64,3,166.86849049757862,12.90066378280514,12.876765273312497
65,3,176.21040784468974,13.594820876566843,12.619295111358042
66,3,123.2757548526795,9.683567139328028,12.69868205509241
67,3,92.49543106936851,7.125035737280269,12.90014249782624
68,3,76.74570940040516,5.656388165009181,13.106292728964636
69,3,78.3704173627575,5.798140190761454,13.304588602007996
70,3,86.19641093993543,6.369895530226886,13.369123463905712
71,3,96.83543125737926,7.693489241692695,12.685654609172719
72,3,161.36876774541508,12.773739503357914,12.597843149876821
73,3,90.34701756444228,7.295260087960108,12.807614282446256
74,3,116.15874260538364,9.217935814702372,12.81767528107446
75,3,121.46996283048017,9.581365349742393,12.515777494417849
76,3,98.04340818295603,8.096859921393007,12.555588805891382
77,3,88.5642611631921,6.770109026732448,13.057400958920846
78,3,102.54859461579059,7.68030787376543,13.347385511582814
79,3,172.99669142716644,13.523543812200487,12.693479859840838
80,3,181.08654144471345,14.940722747136872,12.54596733292518
81,3,105.86362584421995,8.70674245364184,12.673575234455082
82,3,122.14403269707168,9.617509087635645,12.424459180784034
83,3,106.08798845956933,8.349885536626942,12.67725003734729
84,3,112.7372512939883,8.65438704999995,12.920610606287262
85,3,156.1885977062717,11.871734944748365,12.744285120217274
86,3,163.69021709826143,12.353263140408638,13.20485731574511
87,3,100.67324374991455,8.170375893102701,12.8255659680507
88,3,82.95197842091964,6.4502008590556335,12.941146991340528
89,3,156.11977798579287,12.075260026204575,12.720690020430226
90,3,123.25417578627219,9.393909973658948,13.233238154069673
91,4,164.54179936430447,14.162952755756361,11.688563690707268
92,4,107.898239433195,9.093341091239466,12.010127682374486
93,4,63.585651447810605,5.277150069868163,11.7055936149915
94,4,155.8919789965539,12.261386398251467,12.405580378933658
95,4,177.7687485386596,14.857818902804855,12.413997452847626
96,4,119.73660070817547,9.66361826868266,11.935865993924924
97,4,181.58346990173294,14.526493888205666,12.696724312885788
98,4,82.82024588201041,6.625897083716604,12.012342743005828
99,4,80.74222118912915,7.12859688047688,11.632202659497636
100,4,103.36079399540624,8.41512041779076,12.017963074786906
101,4,109.65301460551676,9.059460360451403,12.242391829958944
102,4,167.89114362935413,13.994581883687816,12.034347446255094
103,4,193.4493805364306,14.725097699578843,12.90931686143309
104,4,123.57018950436736,10.10212229575203,12.415769979252547
105,4,153.2139365865005,11.96744277354517,12.722332455032557
106,4,142.97007031661965,11.276189745918591,12.601444556561397
107,4,160.55618802008755,13.6053275438247,11.526360014050502
108,4,74.82844601563384,6.077815282782248,11.984169139146765
109,4,122.95111629549035,10.616748288061666,11.16141466107407
110,4,156.50768861484306,13.083294068333274,11.890145793912131
111,4,160.66610060355592,12.74227116974672,12.506671141003867
112,4,148.12613438335944,12.674619528407321,11.821260767900768
113,4,173.46518534492085,14.812000347782622,11.893543698191404
114,4,62.90703405777672,5.283038158626158,12.230531610113795
115,4,74.76739003556432,6.060977374942632,12.391945426896186
116,4,78.59018500835748,6.533292300533287,11.99167496703335
117,4,130.0486013552321,10.808818138248114,12.026850390075516
118,4,116.74288209071604,9.308372828129182,12.399528247355493
119,4,66.98613351560898,5.641294099119154,12.205305191182028
120,4,96.87530957774571,7.791831231067445,12.016534281589701
